Company,Plant name,Plant location,Plant cost (in US$ billions),Started production,Wafer size (mm),Process technology node (nm),Production capacity (Wafers/Month),Technology / products,Country_Clean
Kioxia[113][114],Y6 (phase 2) (at Yokkaichi Operations),"Japan, Yokkaichi","1.6, 1.7, 1.8 (estimates) (combined costs of installation of equipment at Phase 1 and construction of Phase 2)[116][102]",Planned,300,,,BiCS FLASH™,Y6 (phase 2) (at Yokkaichi Operations)
Kioxia[113][114],Y7,"Japan, Yokkaichi",4.6[117][118],Planned,300,,,BiCS FLASH™,Y7
Kioxia[113],Y2 (at Yokkaichi Operations),"Japan, Yokkaichi",,1995,,,,3D NAND,Y2 (at Yokkaichi Operations)
Kioxia[119][120],New Y2 (at Yokkaichi Operations),"Japan, Yokkaichi",,"2016, July 15",300,,,3D NAND,New Y2 (at Yokkaichi Operations)
Kioxia[121][122][123][124],K1,"Japan, Iwate Prefecture",,Under construction,300,,,3D NAND,K1
MinebeaMitsumi[125],Rinkai Factory,"Japan, 5-2-2, Omikacho, Hitachi-shi, Ibaraki, 319–1221",,,,,,MEMS Foundry,Rinkai Factory
MinebeaMitsumi[125],Haramachi Factory,"Japan, 20 Aza Oohara, Shimo-Ota, Haramachi-ku, Minamisouma-shi, Fukushima, 975-0041",,,,,,Power semiconductors,Haramachi Factory
Hitachi Energy (Formerly ABB)[126],Lenzburg,"Switzerland, Aargau, Lenzburg",0.14,2010 (second phase),"130, 150",,18750,"High power semiconductors, diodes, IGBT, BiMOS",Lenzburg
Mitsubishi Electric[127],"Power Device Works, Kunamoto Site[87]",Japan,,,"100, 125, 150, 200",2000–400,122000,Power semiconductors,Power Device Works
Mitsubishi Electric[128],High frequency optical device manufacturing plant[87],"Japan, Hyogo Prefecture[128]",,,"100, 125",,30000,"High frequency semiconductor devices (GaAsFET, GaN, MMIC)[128]",High frequency optical device manufacturing plant[87]
Powerchip Semiconductor,"Memory Foundry, Fab P1[129][130]","Taiwan, Hsinchu",2.24[3],2002[3],300,"90, 70, 22[131]",80000,"Foundry, Memory IC, LCD drive IC, Integrated Memory Chips, CMOS Image Sensors, and Power Management IC",Memory Foundry
Powerchip Semiconductor,Fab P2[130],"Taiwan, Hsinchu, Hsinchu Science Park",1.86[3],2005[3],300,"90, 70, 22[131]",80000,"Foundry, Memory IC, LCD drive IC, Integrated Memory Chips, CMOS Image Sensors, and Power Management IC",Fab P2[130]
Powerchip Semiconductor (formerly Macronix),Fab P3[130],"Taiwan, Hsinchu, Hsinchu Science Park",,,300,"90, 70, 22[131]",20000,"Foundry, Memory IC, LCD drive IC, Integrated Memory Chips, CMOS Image Sensors, and Power Management IC",Fab P3[130]
SPIL (formerly ProMOS),ProMOS Fab 4[132][133],"Taiwan, Taichung",1.6,,300,70,,Advanced Packaging,ProMOS Fab 4[132][133]
Macronix (formerly ProMOS)[134],Fab 5,"Taiwan, Hsinchu[135]",,,300,,50000,,Fab 5
Macronix[134],Fab 2,Taiwan,,,200,,48000,,Fab 2
Hon Young Semiconductor (formerly Macronix[134]),Fab 1[136],,,,150,800-400,40000,"Foundry, SiC, Automotive MOSFETs, MEMS",Fab 1[136]
