Company,Plant name,Plant location,Plant cost (in US$ billions),Started production,Wafer size (mm),Process technology node (nm),Production capacity (Wafers/Month),Technology / products,Country_Clean
SensFab,,Singapore[3],,1995[3],,,,,nan
MIMOS Semiconductor,,"Malaysia, Kuala Lumpur[3]","0.006, 0.135","1997, 2002[3]",,,,,nan
Silterra Malaysia,Fab1,"Malaysia, Kedah, Kulim",1.6,2000,200,"250, 200, 180–90",46000,"CMOS, HV, MEMS, RF, Logic, Analog, Mix Signal",Fab1
Pyongyang Semiconductor Factory,111 Factory,"North Korea, Pyongyang",,1980s,,3000[356],,,111 Factory
DB HiTek,Fab 1,"South Korea, Bucheon[3]",,1997[3],,,,Foundry,Fab 1
DB HiTek,Fab 2,"South Korea, Eumsung-Kun[3]",,2001[3],,,,Foundry,Fab 2
DB HiTek,Fab 2 Module 2,"South Korea, Eumsung-Kun[3]",,,,,,Foundry,Fab 2 Module 2
Kodenshi AUK Group[357],Silicon FAB Line,,,,,,,,Silicon FAB Line
Kodenshi AUK Group[357],Compound FAB Line,,,,,,,,Compound FAB Line
Kyocera,,,,,,,,SAW devices[145],nan
Seiko Instruments[358],,"China, Shanghai",,,,,,,nan
Seiko Instruments[358],,"Japan, Akita",,,,,,,nan
Seiko Instruments[358],,"Japan, Takatsuka",,,,,,,nan
Epson[359],T wing,"Japan, Sakata",,1997,200,350-150,25000,,T wing
Epson[359],S wing,"Japan, Sakata",,1991,150,1200-350,20000,,S wing
Olympus Corporation[360],Nagano,"Japan, Nagano Prefecture",,,,,,MEMS[361],Nagano
Olympus,,Japan,,,,,,MEMS[362],nan
New Japan Radio,Kawagoe Works,"Japan, Saitama Prefecture, Fujimino City[363][364]",,1959[313],"100, 150","4000, 400, 350",,"Bipolar, Mixed Signal, Analog, Hi Speed BiCMOS, BCD, 40V Hi Speed Complementary Bipolar, Analog CMOS+HV, SAW Filters[365]",Kawagoe Works
New Japan Radio,Saga Electronics Archived 2017-09-19 at the Wayback Machine[366],"Japan, Saga Prefecture",,,"100, 150","4000, 400, 350[367]",,"Foundry, Bipolar, Mixed Signal, Analog, Hi Speed BiCMOS, BCD, 40V Hi Speed Complementary Bipolar, Analog CMOS+HV, SAW Filters[365]",Saga Electronics Archived 2017-09-19 at the Wayback Machine[366]
New Japan Radio,NJR FUKUOKA Archived 2017-09-18 at the Wayback Machine,"Japan, Fukuoka Prefecture, Fukuoka City[366]",,2003[368],"100, 150",,,"Bipolar, Analog ICs, MOSFETs LSI, BiCMOS ICs",NJR FUKUOKA Archived 2017-09-18 at the Wayback Machine
New Japan Radio,,"Japan, Nagano, Nagano City[369]",,,,,,,nan
New Japan Radio,,"Japan, Nagano, Ueda City[369]",,,,,,,nan
Nichia,YOKOHAMA TECHNOLOGY CENTER[370],"Japan, Kanagawa",,,,,,LEDs,YOKOHAMA TECHNOLOGY CENTER[370]
Nichia,SUWA TECHNOLOGY CENTER[370],"Japan, Nagano",,,,,,LEDs,SUWA TECHNOLOGY CENTER[370]
Taiyo Yuden,,"Japan, Nagano",,,,,,SAW devices[145],nan
Taiyo Yuden,,"Japan, Ome",,,,,,SAW devices[145],nan
Silex Microsystems,,"Sweden, Stockholm County, Järfälla[3]","0.009, 0.032","2003, 2009[3]",,,,,nan
Elmos Semiconductor,,"Germany, North Rhine-Westphalia, Dortmund[371]",,1984,200,"800, 350",9000,HV-CMOS,nan
United Monolithic Semiconductors[372],,"Germany, Baden-Württemberg, Ulm",,,100,"700, 250, 150, 100",,"Foundry, FEOL, MMIC, GaAs pHEMT, InGaP, GaN HEMT, MESFET, Schottky diode",nan
United Monolithic Semiconductors[372],,"France, Île-de-France, Villebon-sur-Yvette",,,100,,,"Foundry, BEOL",nan
Innovative Ion Implant,,"France, Provence-Alpes-Côte d'Azur, Peynier",,,51–300[373],,,,nan
Innovative Ion Implant,,"UK,  Scotland, Bathgate",,,51–300[373],,,,nan
nanoPHAB,,"Netherlands, North Brabant, Eindhoven",,,50–100,50-10,2–10,MEMS,nan
Micron Semiconductor Ltd.[374],Lancing,"UK,  England, West Sussex, Lancing",,,,,,Detectors,Lancing
Pragmatic Semiconductor,FlexLogic 001,"UK,  England, Durham",0.02,2018,200,600,4000,Flexible Semiconductor / Foundry and IDM,FlexLogic 001
Pragmatic Semiconductor,FlexLogic 002,"UK,  England, Durham",0.05,2023,300,600,15000,Flexible Semiconductor / Foundry and IDM,FlexLogic 002
Pragmatic Semiconductor,FlexLogic 003,"UK,  England, Durham",0.05,Planned 2025 on line,300,600,15000,Flexible Semiconductor / Foundry and IDM,FlexLogic 003
INEX Microtechnology,,"UK,  England, Northumberland, Newcastle upon Tyne",,2014,150,,,Foundry,nan
CSTG,,"UK,  Scotland, Glasgow[3][375]",,2003[3],"76, 100",,,"InP, GaAs, AlAs, AlAsSb, GaSb, GaN, InGaN, AlN, diodes, LEDs, lasers, PICs, Optical amplifiers, Foundry",nan
Photonix,,"UK,  Scotland, Glasgow[3]",0.011,2000[3],,,,,nan
Integral,,"Belarus, Minsk",,1963,"100, 150, 200","2000, 1500, 350",,,nan
VSP Mikron,WaferFab[376],"Russia, Voronezh Oblast, Voronezh",,1959,"100, 150",900+,6000,"Bipolar, Power Semiconductors",WaferFab[376]
Semikron,Nbg Fab,"Germany, Nuremberg",,1984,150,3500,70000,"Bipolar, Power Semiconductors",Nbg Fab
NM-Tech,,"Russia, Moscow, Zelenograd",,2016,200,250-110,20000,,nan
Angstrem,Liniya 100,"Russia, Moscow, Zelenograd",,1963,100,1200,"500 (6,000 per year)[377]",,Liniya 100
Angstrem,Liniya 150,"Russia, Moscow, Zelenograd",,1963,150,600,"6,000 (72,000 per year)[377]",,Liniya 150
Mikron Group,Mikron,"Russia, Moscow, Zelenograd",0.4[378],2012,200 150 100,250-65 2000-1600,"3,000 8,000 5,000",,Mikron
Crocus Nano Electronics,,"Russia, Moscow",0.2,2016,300,90-55,"4,000[379]",BEOL,nan
NIIIS,,"Russia, Nizhny Novgorod Oblast, Nizhny Novgorod",,2010,100–150,350-150,,MEMS,nan
NPP Istok,,"Russia, Moscow Oblast, Fryazino",,,150,,,,nan
Micran,,"Russia, Tomsk Oblast, Tomsk",,2015,100,,,,nan
Kremny El,,"Russia, Bryansk Oblast, Bryansk",,2019,,500,,,nan
Syntez Microelectronics,,"Russia,  Voronezh Oblast, Voronezh",,1992,200,350-65,,"SiC, GaN, TSV",nan
NZPP Vostok,,"Russia, Novosibirsk Oblast, Novosibirsk",,1956,100,250-180,,,nan
Russian Space Systems,,"Russia, Moscow",,,"76, 100, 150",1000,,,nan
Ruselectronics,Svetlana-Rost,"Russia, Saint Petersburg",,,"50, 76, 100","1000, 800, 500, 200",,,Svetlana-Rost
OKB-Planeta,Svetlana-Rost,"Russia, Novgorod Oblast, Veliky Novgorod",,,100,150,,,Svetlana-Rost
FBK – Fondazione Bruno Kessler,MNF,"Italy, Trento",,1990,500,150,,"Research Institute; prototype productions of silicon MEMS, silicon radiation sensors",MNF
CEITEC – Centro Nacional de Tecnologia Electrônica Avançada S.A,,"Brazil,  Porto Alegre",,2008,,600,,Research Institute; prototype production,nan
HT Micron (Hana Micron),São Leopoldo,"Brazil, São Leopoldo",0.2[380],2009,,,,"DRAM, MCP, NAND Flash",São Leopoldo
Honeywell Aerospace Technologies,,"United States, Redmond, Washington",,,,,,MEMS,nan
Microchip (formerly Fujitsu Microelectronics)[381][382][383],Fab 4,"United States, Oregon, Gresham",0.1835,,200,110,30000,,Fab 4
Microchip (formerly Atmel)[384][385][382],Fab 5,"United States, Colorado, Colorado Springs",,,150,250,40000,"Domestic rad-hard MOSFET, silicon carbide, cryptography, hi-rel discretes, MEMS, automotive, analog, microcontrollers, and memory",Fab 5
"Microchip (part of Microsemi acquisition, formerly New England Semiconductor)[386][387][382]",Lawrence,"United States, Massachusetts, Lawrence",,,76.2 and 100,1000,2000,,Lawrence
Applied Optoelectronics,FAB1,"United States,  Texas, Sugar Land",,2000,150,,,optoelectronics,FAB1
Applied Optoelectronics,FAB2,"United States,  Texas, Sugar Land",,2026,,,,optoelectronics,FAB2
